1	Action	2017-12-20	2017-12-21
2	Animation	2017-12-20	2017-12-21
3	Adventure	2017-12-20	2017-12-21
4	Biography	2017-12-20	2017-12-21
5	Comedy	2017-12-20	2017-12-21
6	Crime	2017-12-20	2017-12-21
7	Documentary	2017-12-20	2017-12-21
8	Drama	2017-12-20	2017-12-21
9	Family	2017-12-20	2017-12-21
10	Fantasy	2017-12-20	2017-12-21
11	Film-Noir	2017-12-20	2017-12-21
12	History	2017-12-20	2017-12-21
13	Horror	2017-12-20	2017-12-21
14	Music	2017-12-20	2017-12-21
15	Musical	2017-12-20	2017-12-21
16	Mystery	2017-12-20	2017-12-21
17	Romance	2017-12-20	2017-12-21
18	Sci-Fi	2017-12-20	2017-12-21
19	Sport	2017-12-20	2017-12-21
20	Thriller	2017-12-20	2017-12-21
21	War	2017-12-20	2017-12-21
22	Western	2017-12-20	2017-12-21
\.


