1	1	2017-12-20	2017-12-21
1	2	2017-12-20	2017-12-21
2	2	2017-12-20	2017-12-21
3	2	2017-12-20	2017-12-21
4	3	2017-12-20	2017-12-21
5	3	2017-12-20	2017-12-21
6	3	2017-12-20	2017-12-21
7	3	2017-12-20	2017-12-21
8	4	2017-12-20	2017-12-21
9	4	2017-12-20	2017-12-21
10	4	2017-12-20	2017-12-21
11	4	2017-12-20	2017-12-21
12	4	2017-12-20	2017-12-21
13	5	2017-12-20	2017-12-21
14	5	2017-12-20	2017-12-21
15	5	2017-12-20	2017-12-21
16	6	2017-12-20	2017-12-21
17	6	2017-12-20	2017-12-21
18	6	2017-12-20	2017-12-21
19	6	2017-12-20	2017-12-21
20	7	2017-12-20	2017-12-21
21	7	2017-12-20	2017-12-21
22	7	2017-12-20	2017-12-21
23	7	2017-12-20	2017-12-21
24	7	2017-12-20	2017-12-21
25	8	2017-12-20	2017-12-21
26	8	2017-12-20	2017-12-21
27	8	2017-12-20	2017-12-21
28	9	2017-12-20	2017-12-21
29	9	2017-12-20	2017-12-21
17	9	2017-12-20	2017-12-21
30	10	2017-12-20	2017-12-21
31	10	2017-12-20	2017-12-21
32	10	2017-12-20	2017-12-21
33	11	2017-12-20	2017-12-21
34	11	2017-12-20	2017-12-21
35	11	2017-12-20	2017-12-21
36	12	2017-12-20	2017-12-21
37	12	2017-12-20	2017-12-21
38	12	2017-12-20	2017-12-21
39	13	2017-12-20	2017-12-21
40	13	2017-12-20	2017-12-21
41	13	2017-12-20	2017-12-21
42	14	2017-12-20	2017-12-21
43	14	2017-12-20	2017-12-21
17	14	2017-12-20	2017-12-21
44	15	2017-12-20	2017-12-21
45	15	2017-12-20	2017-12-21
46	15	2017-12-20	2017-12-21
47	16	2017-12-20	2017-12-21
48	16	2017-12-20	2017-12-21
17	16	2017-12-20	2017-12-21
49	16	2017-12-20	2017-12-21
50	16	2017-12-20	2017-12-21
1	17	2017-12-20	2017-12-21
51	17	2017-12-20	2017-12-21
52	17	2017-12-20	2017-12-21
53	18	2017-12-20	2017-12-21
54	19	2017-12-20	2017-12-21
55	19	2017-12-20	2017-12-21
56	19	2017-12-20	2017-12-21
57	20	2017-12-20	2017-12-21
58	20	2017-12-20	2017-12-21
59	20	2017-12-20	2017-12-21
60	21	2017-12-20	2017-12-21
61	21	2017-12-20	2017-12-21
62	21	2017-12-20	2017-12-21
63	22	2017-12-20	2017-12-21
64	22	2017-12-20	2017-12-21
65	22	2017-12-20	2017-12-21
61	23	2017-12-20	2017-12-21
66	23	2017-12-20	2017-12-21
67	24	2017-12-20	2017-12-21
68	24	2017-12-20	2017-12-21
69	24	2017-12-20	2017-12-21
70	24	2017-12-20	2017-12-21
71	25	2017-12-20	2017-12-21
72	25	2017-12-20	2017-12-21
73	25	2017-12-20	2017-12-21
74	26	2017-12-20	2017-12-21
75	26	2017-12-20	2017-12-21
41	26	2017-12-20	2017-12-21
76	26	2017-12-20	2017-12-21
77	27	2017-12-20	2017-12-21
78	27	2017-12-20	2017-12-21
79	27	2017-12-20	2017-12-21
80	27	2017-12-20	2017-12-21
81	28	2017-12-20	2017-12-21
82	28	2017-12-20	2017-12-21
83	28	2017-12-20	2017-12-21
84	28	2017-12-20	2017-12-21
85	29	2017-12-20	2017-12-21
86	29	2017-12-20	2017-12-21
87	29	2017-12-20	2017-12-21
88	29	2017-12-20	2017-12-21
89	30	2017-12-20	2017-12-21
90	30	2017-12-20	2017-12-21
91	30	2017-12-20	2017-12-21
92	30	2017-12-20	2017-12-21
93	30	2017-12-20	2017-12-21
94	30	2017-12-20	2017-12-21
95	31	2017-12-20	2017-12-21
96	31	2017-12-20	2017-12-21
26	31	2017-12-20	2017-12-21
97	32	2017-12-20	2017-12-21
98	32	2017-12-20	2017-12-21
99	32	2017-12-20	2017-12-21
100	32	2017-12-20	2017-12-21
64	33	2017-12-20	2017-12-21
101	34	2017-12-20	2017-12-21
102	34	2017-12-20	2017-12-21
103	34	2017-12-20	2017-12-21
104	35	2017-12-20	2017-12-21
105	35	2017-12-20	2017-12-21
106	35	2017-12-20	2017-12-21
107	36	2017-12-20	2017-12-21
108	36	2017-12-20	2017-12-21
109	36	2017-12-20	2017-12-21
110	37	2017-12-20	2017-12-21
111	37	2017-12-20	2017-12-21
112	37	2017-12-20	2017-12-21
113	37	2017-12-20	2017-12-21
79	37	2017-12-20	2017-12-21
114	38	2017-12-20	2017-12-21
115	38	2017-12-20	2017-12-21
116	38	2017-12-20	2017-12-21
1	39	2017-12-20	2017-12-21
117	39	2017-12-20	2017-12-21
118	39	2017-12-20	2017-12-21
1	40	2017-12-20	2017-12-21
119	40	2017-12-20	2017-12-21
120	40	2017-12-20	2017-12-21
121	41	2017-12-20	2017-12-21
122	41	2017-12-20	2017-12-21
123	42	2017-12-20	2017-12-21
124	42	2017-12-20	2017-12-21
125	42	2017-12-20	2017-12-21
64	42	2017-12-20	2017-12-21
126	42	2017-12-20	2017-12-21
127	43	2017-12-20	2017-12-21
1	43	2017-12-20	2017-12-21
128	43	2017-12-20	2017-12-21
64	44	2017-12-20	2017-12-21
129	44	2017-12-20	2017-12-21
130	45	2017-12-20	2017-12-21
131	45	2017-12-20	2017-12-21
132	45	2017-12-20	2017-12-21
133	45	2017-12-20	2017-12-21
134	46	2017-12-20	2017-12-21
64	46	2017-12-20	2017-12-21
64	47	2017-12-20	2017-12-21
135	47	2017-12-20	2017-12-21
64	48	2017-12-20	2017-12-21
136	49	2017-12-20	2017-12-21
137	49	2017-12-20	2017-12-21
138	49	2017-12-20	2017-12-21
139	49	2017-12-20	2017-12-21
140	49	2017-12-20	2017-12-21
141	49	2017-12-20	2017-12-21
142	50	2017-12-20	2017-12-21
143	50	2017-12-20	2017-12-21
144	50	2017-12-20	2017-12-21
145	51	2017-12-20	2017-12-21
146	51	2017-12-20	2017-12-21
147	51	2017-12-20	2017-12-21
141	51	2017-12-20	2017-12-21
45	51	2017-12-20	2017-12-21
148	52	2017-12-20	2017-12-21
149	52	2017-12-20	2017-12-21
79	52	2017-12-20	2017-12-21
150	53	2017-12-20	2017-12-21
151	53	2017-12-20	2017-12-21
152	54	2017-12-20	2017-12-21
153	54	2017-12-20	2017-12-21
153	54	2017-12-20	2017-12-21
154	55	2017-12-20	2017-12-21
155	55	2017-12-20	2017-12-21
156	55	2017-12-20	2017-12-21
157	55	2017-12-20	2017-12-21
41	55	2017-12-20	2017-12-21
158	55	2017-12-20	2017-12-21
159	56	2017-12-20	2017-12-21
